,date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"Washington, D.C.",West Virginia,Wisconsin,Wyoming,week_day,week_no
0,2020-03-01,79,20,60,73,60,55,61,59,71,78,68,47,70,66,67,69,75,73,56,57,63,57,58,78,70,62,70,62,58,60,61,51,73,60,63,74,57,62,69,77,70,77,72,23,82,65,55,102,72,62,53,7,9
7,2020-03-08,80,20,62,76,62,60,60,64,68,76,78,51,69,67,68,70,76,77,58,57,64,60,57,81,71,58,70,70,63,59,59,49,72,62,66,68,58,65,63,77,74,79,72,34,86,65,47,123,72,62,67,7,10
14,2020-03-15,60,13,46,52,32,33,32,34,52,46,67,31,39,40,45,38,44,59,35,22,29,28,30,60,45,27,38,48,39,27,45,21,45,39,35,52,28,31,33,62,36,54,46,22,45,31,24,30,46,34,56,7,11
21,2020-03-22,27,0,8,17,3,3,2,2,10,14,23,15,0,3,5,10,13,21,1,0,1,0,0,23,6,11,13,2,4,0,13,0,14,6,7,16,6,0,2,20,18,20,12,1,1,6,1,0,7,0,24,7,12
28,2020-03-29,25,0,2,34,0,0,0,0,1,10,0,0,0,0,4,11,14,14,0,0,0,0,0,29,10,1,20,0,0,0,1,0,10,7,1,18,0,0,0,20,15,20,5,0,0,4,0,0,6,0,20,7,13
35,2020-04-05,11,0,0,23,0,0,0,0,0,2,2,0,1,1,11,5,12,13,0,0,0,0,0,15,4,1,13,0,0,0,1,0,5,1,0,10,0,0,0,13,9,10,1,0,0,1,0,0,3,0,16,7,14
42,2020-04-12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,15
49,2020-04-19,4,0,2,16,1,0,1,0,1,0,2,4,4,5,14,13,10,8,1,0,0,0,0,6,13,2,19,0,3,0,2,0,6,2,1,18,1,0,0,6,7,9,5,0,0,1,0,0,8,1,14,7,16
55,2020-04-26,33,3,0,40,0,1,0,0,5,18,5,5,7,7,23,19,5,27,2,0,0,1,5,32,22,12,27,0,1,0,3,0,15,10,1,30,1,0,0,26,29,15,16,0,0,1,0,0,2,9,27,7,17
62,2020-05-03,62,25,11,51,7,21,26,8,24,43,15,29,22,29,51,36,34,47,34,0,16,22,31,54,32,40,45,7,32,7,24,4,40,51,28,49,12,17,24,52,66,48,32,10,31,18,3,0,28,42,58,7,18
69,2020-05-10,67,2,6,65,1,21,17,18,22,52,3,40,12,33,37,43,48,52,32,2,4,9,14,63,47,52,46,2,22,6,22,1,46,42,30,56,13,16,18,59,54,59,39,17,7,23,9,0,48,14,63,7,19
76,2020-05-17,55,36,19,48,4,30,21,15,32,45,26,37,2,25,29,41,41,42,49,3,11,2,4,48,36,60,39,6,31,8,28,3,40,76,34,57,12,17,25,56,64,50,36,13,32,21,5,1,47,4,79,7,20
83,2020-05-24,68,30,32,62,19,19,32,21,34,51,40,60,35,54,51,48,58,57,50,9,21,36,33,66,50,72,46,23,39,15,38,12,46,66,52,60,36,32,37,58,78,62,37,34,47,28,22,1,58,55,73,7,21
89,2020-05-31,62,48,26,59,16,33,14,15,29,40,50,58,27,42,52,49,49,51,13,5,6,27,34,58,50,70,48,23,17,7,33,1,34,70,39,62,34,12,21,42,80,55,41,26,4,18,17,3,36,51,101,7,22
96,2020-06-07,57,67,27,67,23,40,35,44,30,50,44,35,40,55,66,54,61,26,46,19,20,42,44,50,56,64,54,30,37,22,38,14,50,74,54,66,25,40,35,59,91,64,45,7,42,37,18,12,66,60,89,7,23
103,2020-06-14,63,73,21,60,29,37,32,38,39,49,49,55,37,53,61,51,54,57,50,14,26,42,42,62,53,68,51,40,37,17,36,13,41,61,48,59,46,33,40,51,91,58,41,19,28,30,35,9,42,57,107,7,24
110,2020-06-21,75,50,24,68,30,49,47,45,46,63,48,71,48,61,79,63,64,64,79,27,39,53,55,77,68,97,68,38,55,30,47,24,56,99,58,64,52,47,52,67,127,67,46,36,54,44,39,8,68,76,117,7,25
117,2020-06-28,71,48,26,67,27,56,36,46,41,58,51,60,53,62,79,63,54,59,58,26,27,64,60,72,64,94,76,35,45,29,52,24,49,96,59,66,49,49,45,58,132,64,41,28,33,41,39,15,58,82,125,7,26
124,2020-07-05,65,61,15,65,19,52,49,47,34,54,40,69,50,62,69,51,68,49,64,27,38,57,53,63,60,114,66,32,56,33,40,33,49,83,56,60,47,50,54,59,129,61,34,28,70,42,40,55,68,74,126,7,27
131,2020-07-12,66,55,18,72,29,57,69,62,53,68,51,70,66,73,90,66,74,67,79,48,63,70,74,74,70,114,84,36,64,55,44,57,70,107,67,66,59,73,78,73,149,65,44,29,48,59,47,332,75,91,132,7,28
138,2020-07-19,62,42,17,61,20,52,46,42,41,54,39,61,42,51,66,47,60,51,65,27,42,40,60,61,52,101,64,19,54,35,37,32,49,85,47,56,48,47,54,54,111,59,39,28,43,38,43,42,53,65,108,7,29
145,2020-07-26,62,54,14,59,12,42,40,35,32,51,0,55,44,56,57,49,54,41,58,21,36,50,45,57,52,91,61,23,52,30,31,24,47,78,48,54,42,41,44,53,114,57,30,24,43,35,37,8,51,53,109,7,30
152,2020-08-02,56,27,11,55,4,39,16,21,10,43,18,44,33,40,55,42,43,42,34,10,16,26,41,55,42,68,58,16,29,16,26,10,34,67,27,48,30,20,24,41,103,52,32,16,11,24,24,9,36,38,89,7,31
159,2020-08-09,61,60,19,60,17,46,43,42,37,52,21,60,42,54,58,43,59,51,62,23,36,49,37,60,49,95,62,30,48,35,34,29,46,68,50,55,49,45,41,55,122,58,41,26,50,38,41,15,58,50,111,7,32
166,2020-08-16,61,60,17,60,7,41,22,24,37,51,16,55,44,52,67,46,53,50,56,12,20,45,55,58,52,81,57,23,41,16,33,12,43,77,42,52,39,34,20,55,105,56,39,20,40,27,36,11,47,62,105,7,33
173,2020-08-23,61,50,27,65,16,45,51,47,43,53,21,57,50,58,69,54,62,60,73,32,46,60,66,63,56,88,64,29,63,38,40,36,52,86,56,58,50,50,57,57,92,61,46,28,52,47,43,34,57,73,96,7,34
180,2020-08-30,56,51,26,49,20,45,44,44,30,50,13,56,50,54,66,51,55,58,49,27,41,51,58,57,52,75,61,30,45,40,42,30,48,66,52,53,51,46,45,57,81,51,40,29,35,40,44,27,53,69,79,7,35
187,2020-09-06,65,61,28,61,19,48,51,47,48,57,18,55,43,53,55,51,63,61,64,37,49,48,51,63,51,79,63,33,52,44,47,41,53,69,56,56,49,54,53,59,89,63,49,26,57,47,45,50,59,47,97,7,36
194,2020-09-13,64,69,34,61,20,48,45,40,34,55,20,52,51,58,64,55,56,58,59,30,38,51,54,61,55,77,69,34,47,39,46,28,51,70,48,59,18,43,45,58,89,53,47,29,43,43,20,30,48,56,94,7,37
201,2020-09-20,67,54,33,66,26,49,46,45,41,60,22,56,54,61,68,53,68,54,60,33,41,56,59,66,56,70,69,37,49,42,48,34,54,71,58,62,46,52,46,61,82,66,46,32,53,46,41,34,58,61,91,7,38
208,2020-09-27,68,52,35,65,26,46,49,45,46,58,35,55,53,63,57,43,68,63,66,31,41,57,57,69,51,65,60,40,55,44,45,38,54,62,59,58,52,50,44,62,79,65,50,33,65,45,40,36,58,54,75,7,39
215,2020-10-04,67,40,31,63,21,45,48,45,38,61,29,50,47,50,62,54,60,61,57,32,41,41,51,71,53,62,64,34,52,43,41,32,52,67,46,59,45,50,46,62,78,63,49,21,56,44,31,36,53,53,81,7,40
221,2020-10-11,60,37,40,64,23,44,49,34,47,50,32,44,59,58,73,53,53,59,61,21,46,59,54,61,60,45,66,38,53,40,44,37,35,61,52,59,35,45,50,51,75,54,53,25,63,30,27,33,42,58,63,7,41
228,2020-10-18,74,27,42,63,25,41,47,42,50,66,31,48,42,53,54,49,60,69,48,33,40,43,42,74,53,27,55,43,43,46,51,37,58,56,47,55,49,52,44,66,69,66,55,31,40,50,36,40,58,42,63,7,42
235,2020-10-25,63,30,38,56,21,2,32,23,42,53,45,30,36,44,31,34,50,59,32,13,23,35,22,62,43,15,20,38,29,30,32,24,36,35,39,50,41,34,30,50,16,57,46,16,21,26,35,23,38,26,3,7,43
242,2020-11-01,65,14,30,56,17,30,22,16,38,57,29,30,28,37,44,40,49,58,22,12,16,21,27,61,43,33,48,31,22,19,23,14,40,41,30,55,33,22,18,52,50,55,47,15,15,27,25,16,34,24,42,7,44
249,2020-11-08,65,13,35,61,13,26,37,40,31,57,42,24,39,47,48,42,57,58,32,28,33,39,40,65,49,7,47,28,35,39,25,32,50,49,44,55,34,43,32,58,52,60,49,10,30,42,29,42,49,44,36,7,45
256,2020-11-15,66,29,40,60,20,27,26,33,52,61,45,25,27,36,33,44,50,63,28,20,26,24,27,65,46,37,48,35,27,30,33,21,50,51,31,53,29,32,28,61,49,57,53,12,16,38,26,49,38,25,39,7,46
263,2020-11-22,71,27,39,58,15,26,31,32,52,66,43,32,32,37,38,42,41,63,31,21,27,21,19,66,45,35,48,35,28,31,18,25,54,46,32,51,20,32,31,63,60,57,52,16,18,43,18,41,44,40,48,7,47
270,2020-11-29,49,22,30,46,8,19,26,27,47,49,42,29,28,36,31,31,42,42,25,15,22,24,14,48,37,38,34,27,23,25,16,21,44,33,32,43,23,31,27,53,50,49,42,15,19,34,18,16,41,34,43,7,48
277,2020-12-06,64,24,36,57,11,32,26,26,52,60,51,36,35,42,45,45,46,56,12,19,16,27,24,63,48,47,51,29,13,27,32,23,49,53,36,54,30,33,20,59,62,57,52,18,16,37,22,17,39,39,57,7,49
283,2020-12-20,78,44,48,74,10,48,34,33,65,75,61,53,54,60,68,58,69,72,45,30,33,46,44,76,63,59,68,41,38,37,52,30,56,69,55,71,36,38,36,69,78,68,68,32,42,50,36,43,59,61,67,7,51
290,2020-12-27,55,9,21,50,2,28,30,22,49,51,36,21,29,36,32,35,46,55,36,14,26,24,18,56,40,37,42,17,29,26,26,20,42,41,32,45,17,23,29,50,46,46,42,9,34,30,7,11,34,33,40,7,52
