,date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"Washington, D.C.",West Virginia,Wisconsin,Wyoming,week_day,week_no
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9
7,2020-03-08,1.0,0.0,2.0,3.0,2.0,5.0,-1.0,5.0,-3.0,-2.0,10.0,4.0,-1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,-1.0,3.0,1.0,-4.0,0.0,8.0,5.0,-1.0,-2.0,-2.0,-1.0,2.0,3.0,-6.0,1.0,3.0,-6.0,0.0,4.0,2.0,0.0,11.0,4.0,0.0,-8.0,21.0,0.0,0.0,14.0,7,10
14,2020-03-15,-20.0,-7.0,-16.0,-24.0,-30.0,-27.0,-28.0,-30.0,-16.0,-30.0,-11.0,-20.0,-30.0,-27.0,-23.0,-32.0,-32.0,-18.0,-23.0,-35.0,-35.0,-32.0,-27.0,-21.0,-26.0,-31.0,-32.0,-22.0,-24.0,-32.0,-14.0,-28.0,-27.0,-23.0,-31.0,-16.0,-30.0,-34.0,-30.0,-15.0,-38.0,-25.0,-26.0,-12.0,-41.0,-34.0,-23.0,-93.0,-26.0,-28.0,-11.0,7,11
21,2020-03-22,-33.0,-13.0,-38.0,-35.0,-29.0,-30.0,-30.0,-32.0,-42.0,-32.0,-44.0,-16.0,-39.0,-37.0,-40.0,-28.0,-31.0,-38.0,-34.0,-22.0,-28.0,-28.0,-30.0,-37.0,-39.0,-16.0,-25.0,-46.0,-35.0,-27.0,-32.0,-21.0,-31.0,-33.0,-28.0,-36.0,-22.0,-31.0,-31.0,-42.0,-18.0,-34.0,-34.0,-21.0,-44.0,-25.0,-23.0,-30.0,-39.0,-34.0,-32.0,7,12
28,2020-03-29,-2.0,0.0,-6.0,17.0,-3.0,-3.0,-2.0,-2.0,-9.0,-4.0,-23.0,-15.0,0.0,-3.0,-1.0,1.0,1.0,-7.0,-1.0,0.0,-1.0,0.0,0.0,6.0,4.0,-10.0,7.0,-2.0,-4.0,0.0,-12.0,0.0,-4.0,1.0,-6.0,2.0,-6.0,0.0,-2.0,0.0,-3.0,0.0,-7.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-4.0,7,13
35,2020-04-05,-14.0,0.0,-2.0,-11.0,0.0,0.0,0.0,0.0,-1.0,-8.0,2.0,0.0,1.0,1.0,7.0,-6.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-14.0,-6.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-5.0,-6.0,-1.0,-8.0,0.0,0.0,0.0,-7.0,-6.0,-10.0,-4.0,0.0,0.0,-3.0,0.0,0.0,-3.0,0.0,-4.0,7,14
42,2020-04-12,-11.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,-11.0,-5.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,-15.0,-4.0,-1.0,-13.0,0.0,0.0,0.0,-1.0,0.0,-5.0,-1.0,0.0,-7.0,0.0,0.0,0.0,-13.0,-9.0,-10.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-16.0,7,15
49,2020-04-19,4.0,0.0,2.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,5.0,14.0,13.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,2.0,19.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,1.0,15.0,1.0,0.0,0.0,6.0,7.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,14.0,7,16
55,2020-04-26,29.0,3.0,-2.0,24.0,-1.0,1.0,-1.0,0.0,4.0,18.0,3.0,1.0,3.0,2.0,9.0,6.0,-5.0,19.0,1.0,0.0,0.0,1.0,5.0,26.0,9.0,10.0,8.0,0.0,-2.0,0.0,1.0,0.0,9.0,8.0,0.0,12.0,0.0,0.0,0.0,20.0,22.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,-6.0,8.0,13.0,7,17
62,2020-05-03,29.0,22.0,11.0,11.0,7.0,20.0,26.0,8.0,19.0,25.0,10.0,24.0,15.0,22.0,28.0,17.0,29.0,20.0,32.0,0.0,16.0,21.0,26.0,22.0,10.0,28.0,18.0,7.0,31.0,7.0,21.0,4.0,25.0,41.0,27.0,19.0,11.0,17.0,24.0,26.0,37.0,33.0,16.0,10.0,31.0,17.0,3.0,0.0,26.0,33.0,31.0,7,18
69,2020-05-10,5.0,-23.0,-5.0,14.0,-6.0,0.0,-9.0,10.0,-2.0,9.0,-12.0,11.0,-10.0,4.0,-14.0,7.0,14.0,5.0,-2.0,2.0,-12.0,-13.0,-17.0,9.0,15.0,12.0,1.0,-5.0,-10.0,-1.0,-2.0,-3.0,6.0,-9.0,2.0,7.0,1.0,-1.0,-6.0,7.0,-12.0,11.0,7.0,7.0,-24.0,5.0,6.0,0.0,20.0,-28.0,5.0,7,19
76,2020-05-17,-12.0,34.0,13.0,-17.0,3.0,9.0,4.0,-3.0,10.0,-7.0,23.0,-3.0,-10.0,-8.0,-8.0,-2.0,-7.0,-10.0,17.0,1.0,7.0,-7.0,-10.0,-15.0,-11.0,8.0,-7.0,4.0,9.0,2.0,6.0,2.0,-6.0,34.0,4.0,1.0,-1.0,1.0,7.0,-3.0,10.0,-9.0,-3.0,-4.0,25.0,-2.0,-4.0,1.0,-1.0,-10.0,16.0,7,20
83,2020-05-24,13.0,-6.0,13.0,14.0,15.0,-11.0,11.0,6.0,2.0,6.0,14.0,23.0,33.0,29.0,22.0,7.0,17.0,15.0,1.0,6.0,10.0,34.0,29.0,18.0,14.0,12.0,7.0,17.0,8.0,7.0,10.0,9.0,6.0,-10.0,18.0,3.0,24.0,15.0,12.0,2.0,14.0,12.0,1.0,21.0,15.0,7.0,17.0,0.0,11.0,51.0,-6.0,7,21
89,2020-05-31,-6.0,18.0,-6.0,-3.0,-3.0,14.0,-18.0,-6.0,-5.0,-11.0,10.0,-2.0,-8.0,-12.0,1.0,1.0,-9.0,-6.0,-37.0,-4.0,-15.0,-9.0,1.0,-8.0,0.0,-2.0,2.0,0.0,-22.0,-8.0,-5.0,-11.0,-12.0,4.0,-13.0,2.0,-2.0,-20.0,-16.0,-16.0,2.0,-7.0,4.0,-8.0,-43.0,-10.0,-5.0,2.0,-22.0,-4.0,28.0,7,22
96,2020-06-07,-5.0,19.0,1.0,8.0,7.0,7.0,21.0,29.0,1.0,10.0,-6.0,-23.0,13.0,13.0,14.0,5.0,12.0,-25.0,33.0,14.0,14.0,15.0,10.0,-8.0,6.0,-6.0,6.0,7.0,20.0,15.0,5.0,13.0,16.0,4.0,15.0,4.0,-9.0,28.0,14.0,17.0,11.0,9.0,4.0,-19.0,38.0,19.0,1.0,9.0,30.0,9.0,-12.0,7,23
103,2020-06-14,6.0,6.0,-6.0,-7.0,6.0,-3.0,-3.0,-6.0,9.0,-1.0,5.0,20.0,-3.0,-2.0,-5.0,-3.0,-7.0,31.0,4.0,-5.0,6.0,0.0,-2.0,12.0,-3.0,4.0,-3.0,10.0,0.0,-5.0,-2.0,-1.0,-9.0,-13.0,-6.0,-7.0,21.0,-7.0,5.0,-8.0,0.0,-6.0,-4.0,12.0,-14.0,-7.0,17.0,-3.0,-24.0,-3.0,18.0,7,24
